u,v,key,osmid,oneway,lanes,name,highway,maxspeed,reversed,length,ref,geometry,access,width,tunnel,service,bridge,junction,est_width,NO2_ugm3,NO_ugm3,CO2_mgm3,CO_mgm3,O3_ugm3,PM25_ugm3
389666,2383668108,0,5826349,False,2,Wexford Street,secondary,30,False,21.158,R114,"LINESTRING (-6.2657876 53.3375973, -6.2657673 53.3375055, -6.2657419 53.337409)",,,,,,,,31.452,55.397,837.7289999999999,0.418,39.461,8.253
389666,2383668112,0,5976022,False,3,Redmonds Hill,secondary,30,False,25.119,R114,"LINESTRING (-6.2657876 53.3375973, -6.2658281 53.3377071, -6.2658624 53.3378187)",,,,,,,,22.646,49.004,843.205,0.403,46.67499999999999,7.471
389666,2383668119,0,532427446,False,3,Kevin Street Lower,secondary,30,True,22.837,R110,"LINESTRING (-6.2657876 53.3375973, -6.2659205 53.3375855, -6.26613 53.3375818)",,,,,,,,20.894,30.455,819.899,0.399,48.453,7.135000000000001
389667,133287045,0,4628792,False,4,Camden Street Lower,secondary,30,False,84.298,R114,"LINESTRING (-6.2652056 53.3354833, -6.2652279 53.3352373, -6.2652338 53.3351251, -6.2652546 53.3347258)",,,,,,,,21.425,15.160333333333334,823.6016666666666,0.3876666666666666,47.42233333333333,7.525666666666666
389667,449374189,0,8080823,True,1,Pleasants Street,residential,30,False,57.365,,"LINESTRING (-6.2652056 53.3354833, -6.2653052 53.3354816, -6.2654668 53.3354789, -6.2660622 53.3354232)",,,,,,,,8.083400000000001,5.6267,800.6548,0.349,51.2898,5.1888
389667,133287054,0,14038815,False,,Camden Place,service,30,False,75.675,,"LINESTRING (-6.2652056 53.3354833, -6.2650697 53.3354827, -6.2649701 53.3354822, -6.2640659 53.335479)",,,,alley,,,,25.331,11.341,836.673,0.359,58.109,6.582
389667,5113848602,0,77616869,False,3,Camden Street Lower,secondary,30,True,77.59899999999999,R114,"LINESTRING (-6.2652056 53.3354833, -6.2652062 53.3355438, -6.2652064 53.3355641, -6.265207 53.3356182, -6.265341 53.3361223, -6.2653568 53.336174)",,,,,,,,27.55,20.361,838.8706666666667,0.3916666666666666,44.83833333333333,7.506
389676,340862535,0,4628793,True,3,Camden Street Upper,secondary,30,False,102.684,R114,"LINESTRING (-6.2648597 53.3325969, -6.2651057 53.3335086)",,,,,,,,31.40833333333333,34.089666666666666,837.649,0.4776666666666667,37.43666666666667,7.461000000000001
389676,340862530,0,13894939,False,4,Harrington Street,secondary,50,True,50.007000000000005,R811,"LINESTRING (-6.2648597 53.3325969, -6.265012 53.3325927, -6.265612 53.3325764)",,,,,,,,31.7072,71.39500000000001,837.3190000000001,0.4749999999999999,37.3648,7.428999999999999
389677,130253647,0,13873181,False,3,Richmond Street South,secondary,50,False,42.253,R114,"LINESTRING (-6.2645251 53.3311096, -6.2644223 53.3307346)",,,,,,,,16.58866666666667,7.610499999999999,814.7823333333332,0.3886666666666666,52.324666666666666,5.629666666666666
